No;Provinsi;Kab/Kota;Kecamatan;Kelurahan;;;
236;BANTEN;KABUPATEN LEBAK;BAYAH;CIDIKIT;;;
237;BANTEN;KABUPATEN LEBAK;BAYAH;CIMANCAK;;;
238;BANTEN;KABUPATEN LEBAK;BAYAH;CISUREN;;;
239;BANTEN;KABUPATEN LEBAK;BAYAH;DARMASARI;;;
240;BANTEN;KABUPATEN LEBAK;BAYAH;PAMUBULAN;;;
241;BANTEN;KABUPATEN LEBAK;BAYAH;PASIRGOMBONG;;;
242;BANTEN;KABUPATEN LEBAK;BAYAH;SAWARNA;;;
243;BANTEN;KABUPATEN LEBAK;BAYAH;SAWARNA TIMUR;;;
244;BANTEN;KABUPATEN LEBAK;BAYAH;SUWAKAN;;;
245;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;BOJONGMANIK;;;
246;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;CIMAYANG;;;
247;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;HARJAWANA;;;
248;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;KADURAHAYU;;;
249;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;KEBONCAU;;;
250;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;MEKAR RAHAYU;;;
251;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;MEKARMANIK;;;
252;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;PARAKANBEUSI;;;
253;BANTEN;KABUPATEN LEBAK;BOJONGMANIK;PASIR BITUNG;;;
254;BANTEN;KABUPATEN LEBAK;CIBADAK;ASEM;;;
255;BANTEN;KABUPATEN LEBAK;CIBADAK;ASEM MARGALUYU;;;
256;BANTEN;KABUPATEN LEBAK;CIBADAK;BOJONGCAE;;;
257;BANTEN;KABUPATEN LEBAK;CIBADAK;BOJONGLELES;;;
258;BANTEN;KABUPATEN LEBAK;CIBADAK;CIBADAK;;;
259;BANTEN;KABUPATEN LEBAK;CIBADAK;CIMENTENG JAYA;;;
260;BANTEN;KABUPATEN LEBAK;CIBADAK;CISANGU;;;
261;BANTEN;KABUPATEN LEBAK;CIBADAK;KADUAGUNG BARAT;;;
262;BANTEN;KABUPATEN LEBAK;CIBADAK;KADUAGUNG TENGAH;;;
263;BANTEN;KABUPATEN LEBAK;CIBADAK;KADUAGUNG TIMUR;;;
264;BANTEN;KABUPATEN LEBAK;CIBADAK;MALABAR;;;
265;BANTEN;KABUPATEN LEBAK;CIBADAK;MEKAR AGUNG;;;
266;BANTEN;KABUPATEN LEBAK;CIBADAK;PANANCANGAN;;;
267;BANTEN;KABUPATEN LEBAK;CIBADAK;PASAR KEONG;;;
268;BANTEN;KABUPATEN LEBAK;CIBADAK;TAMBAKBAYA;;;
269;BANTEN;KABUPATEN LEBAK;CIBEBER;CIBEBER;;;
270;BANTEN;KABUPATEN LEBAK;CIBEBER;CIHAMBALI;;;
271;BANTEN;KABUPATEN LEBAK;CIBEBER;CIHERANG;;;
272;BANTEN;KABUPATEN LEBAK;CIBEBER;CIKADU;;;
273;BANTEN;KABUPATEN LEBAK;CIBEBER;CIKOTOK;;;
274;BANTEN;KABUPATEN LEBAK;CIBEBER;CISUNGSANG;;;
275;BANTEN;KABUPATEN LEBAK;CIBEBER;CITOREK BARAT;;;
276;BANTEN;KABUPATEN LEBAK;CIBEBER;CITOREK KIDUL;;;
277;BANTEN;KABUPATEN LEBAK;CIBEBER;CITOREK SABRANG;;;
278;BANTEN;KABUPATEN LEBAK;CIBEBER;CITOREK TENGAH;;;
